,Country,Region,SDGi,Life Exectancy,HDI,Per Capita GDP,Income Group,Population (millions),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Total biocapacity ,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required
34,China,Asia-Pacific,72.4,78,0.77,18299.0,UM,1480.6,0.5,0.1,0.2,2.6,0.1,0.123909995,3.6,0.3,0.1,0.223058918,0.042214858,0.802130192,-2.816518632,2.396114421,4.511298614
35,Colombia,South America,70.1,73,0.75,15610.0,UM,51.5,0.6,0.7,0.1,0.5,0.0,0.066788107,2.0,0.5,1.1,1.895293089,0.0636728,3.587634761,1.610520636,1.309160379,0.55109125
37,Congo,Africa,52.3,64,0.57,3921.0,LM,5.8,0.3,0.1,0.3,0.3,0.1,0.061983349,1.1,0.2,2.3,5.078503786,0.259848564,7.831302282,6.712954164,0.740522273,0.142804872
38,"Congo, Democratic Republic of",Africa,50.0,59,0.48,1127.0,LI,95.2,0.2,0.0,0.4,0.0,0.0,0.081315072,0.7,0.2,0.2,1.348660186,0.031009487,1.846246272,1.160856503,0.453835779,0.371234206
39,Costa Rica,Central America/Caribbean,73.8,77,0.81,20976.0,UM,5.2,0.4,0.1,0.6,0.9,0.2,0.251434428,2.6,0.3,0.3,0.643532322,0.111495566,1.615101928,-0.983838933,1.720907437,1.609149748
41,Croatia,Other Europe,78.8,76,0.86,31007.0,HI,4.1,0.8,0.2,0.7,1.8,0.1,0.155072882,3.7,0.7,0.2,1.16326204,0.360782969,2.5716721,-1.140193191,2.457838376,1.443366474
44,Czech Republic,EU-27,80.5,77,0.89,40707.0,HI,10.7,1.0,0.3,0.8,2.8,0.0,0.122170694,5.1,1.1,0.1,1.242041251,0.005852416,2.522005575,-2.561014389,3.365758334,2.015467378
45,Denmark,EU-27,85.6,81,0.95,59333.0,HI,5.8,1.9,0.4,1.0,2.9,0.8,0.216036198,7.3,1.8,0.0,0.394444494,1.753241899,4.216546359,-3.069922517,4.824787924,1.728065638
46,Djibouti,Africa,50.3,62,0.51,5710.0,LM,1.0,1.6,0.1,0.2,0.2,0.1,0.214843062,2.5,0.0,0.2,0.001715099,0.234446828,0.633919885,-1.823461613,1.627172885,3.876485903
48,Dominican Republic,Central America/Caribbean,70.8,73,0.77,20541.0,UM,11.1,0.5,0.1,0.1,0.9,0.1,0.111283677,1.8,0.3,0.1,0.157583136,0.022516128,0.681747314,-1.121494442,1.194029536,2.645029498
51,El Salvador,Central America/Caribbean,69.6,71,0.68,9062.0,LM,6.6,0.4,0.2,0.4,0.6,0.1,0.133305571,2.0,0.2,0.1,0.087975489,0.112063344,0.605743426,-1.346898576,1.292955986,3.223546337
54,Estonia,EU-27,80.6,77,0.89,38353.0,HI,1.3,0.9,0.2,4.3,2.6,0.0,0.134033174,8.1,1.4,0.1,3.832438381,4.301283389,9.811607127,1.69411469,5.375056169,0.827335658
55,Eswatini,Africa,54.6,57,0.6,8917.0,LM,1.2,0.4,0.4,0.8,0.6,0.0,0.541117412,2.9,0.3,0.5,0.045744916,0.004912661,1.386831466,-1.512901071,1.920078816,2.090904777
56,Ethiopia,Africa,58.0,65,0.5,2918.0,LI,120.8,0.3,0.1,0.4,0.1,0.0,0.033687634,0.8,0.3,0.1,0.046856067,0.002296988,0.449047566,-0.39188073,0.556826737,1.872693139
57,Fiji,Asia-Pacific,72.9,67,0.73,11647.0,UM,0.9,0.8,0.2,0.7,0.9,0.2,0.14061498,2.8,0.5,0.1,1.346372069,0.622259519,2.744014775,-0.069008375,1.86266357,1.025148689
58,Finland,EU-27,86.5,82,0.94,49686.0,HI,5.6,0.9,0.2,0.9,3.0,0.1,0.126549669,5.4,0.8,0.1,8.390159207,2.307201274,11.75105354,6.387773814,3.551334354,0.456408415
59,France,EU-27,81.2,82,0.9,47995.0,HI,65.6,1.0,0.3,0.5,2.2,0.2,0.150927203,4.3,1.0,0.2,0.973828654,0.111034045,2.458371838,-1.854753308,2.855966926,1.754464105
